teixit,forma,(2)(glla-2v)(2),(2)a,(2)g,(2)gl,(2)l,(2)l(3),(2)l(3)l,(3)g,(3)l,(3)l(2),(3)l(3),(3)l(3)glla,(3)l3,(3)l3l,(3)lp,(3)lpl,(4)l,(5)g,(5)l,(7)g,(7)l,(9)l,(glla-2v)3l,(glla-2v)gl,(glla-3v)l,(la-6v)l,(lg-4v)l,(lg-6v)l,(lp-3v)l,3a,3l,3l(3)l,3ll,3lla,a(2),a(3)g,a(3)gl,a(4),a(5)g,a(7)g,a(7)gl,a(9),a(9)g,apg,apgl,apgll,ga,ggl,gl,gl(4)l,glgl,glla,glla(2),glla(2)l,glla(3)l(3),glla(3)la,glla3a,glla3l,gllag,gllagl,gllagll,gllaglla,gllal,gllap,gllp,glpl,l(2),l(2)3(2)l(3)l,l(2)gl,l(2)glla,l(2)l,l(3),l(3)3,l(3)g,l(3)gl,l(3)l,l(3)l(2),l(4),l(4)g,l(4)l,l(5),l(5)l,l(6),l(6)l,l(7),l(7)l,l(8),l(8)l,l(9),l(9)l,l3,l3glla,l3l,l3l(3),l3l(5)l,l3lpl,la,la(3)g,la(3)gl,la(3)l,la(glla-2v),la(glla-3v),laglla,lal(3),lalal,lapg,lapgl,lg,lgl,lgl(3)lala,lglla,lgllagl,ll,ll3,llgl,llp,lp,lp(la-3v),lp3pl,lpl,lpla,lplap,lx,lxl,pg,pl,pl(3),pl3lpl,pll,xl,xl(2),xl(3),xl(3)l,xlpl
CM_Pasión,Redondo,0,2,3,0,4,0,0,6,14,2,0,0,0,0,0,0,5,4,9,3,7,4,0,0,0,2,2,2,0,0,21,0,0,0,4,3,1,2,3,2,0,2,2,8,4,0,8,0,48,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,21,0,2,0,8,2,5,0,1,7,4,8,5,5,4,4,3,7,2,25,0,19,1,1,0,69,1,1,0,0,0,0,0,11,5,3,44,18,2,0,0,11,1,0,0,19,2,0,7,3,0,39,34,15,12,2,0,0,38,3,3,0,1
CM_Angelines,Cuadrado,0,0,1,1,11,3,3,0,39,2,1,0,6,6,11,10,1,0,0,2,0,4,0,0,0,0,0,0,0,0,36,6,1,0,2,0,0,0,0,2,2,0,0,25,23,0,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,2,1,0,4,39,3,0,0,32,2,1,0,1,0,0,0,0,0,0,0,0,5,4,33,0,32,7,0,11,36,0,0,0,0,0,0,0,0,19,17,2,1,0,0,0,3,1,0,0,67,0,4,51,12,11,2,0,27,66,13,4,0,36,4,8,7,10
CM_Eterna,Redondo,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,3,2,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,2,2,0,1,0,10,0,0,0,7,0,0,7,1,0,5,5,0,10,0,0,0,5,0,1,1,1
CM_Pelargonia,Redondo,3,3,7,7,10,4,4,6,15,1,0,0,3,0,4,3,2,1,5,1,5,4,0,0,0,3,0,4,0,1,12,0,2,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,24,6,3,0,1,0,2,2,2,1,0,3,1,0,0,9,3,3,3,1,15,5,5,4,4,1,1,0,1,5,4,0,0,5,4,0,0,5,3,11,1,5,0,0,0,43,0,0,6,0,0,2,1,0,0,0,8,4,0,3,0,28,2,0,0,10,0,3,4,0,0,1,0,2,9,0,0,0,9,2,2,0,0
CM_Gardenia,Redondo,1,12,8,4,23,0,0,11,35,0,0,0,11,7,0,0,27,26,34,6,1,0,0,17,3,0,0,0,11,21,49,7,9,5,7,7,4,3,6,6,4,9,6,26,19,2,10,5,327,4,4,182,1,0,0,3,2,2,20,18,7,4,8,8,5,12,26,0,0,0,18,34,0,4,3,23,0,24,2,16,32,9,6,2,1,0,2,2,0,0,48,2,19,6,0,0,318,3,0,3,17,5,18,0,0,20,13,10,6,0,5,3,221,8,0,9,91,0,0,52,12,6,13,9,50,74,0,0,5,34,0,3,2,3
CM_Hojas de Roble,Redondo,0,18,16,14,28,0,0,10,13,3,0,0,0,0,3,3,1,8,0,6,2,4,3,11,3,0,0,0,8,5,26,0,9,5,11,4,4,4,4,2,1,2,0,24,16,2,2,7,185,0,0,106,4,2,0,2,3,4,13,11,3,0,3,6,3,4,29,0,8,7,9,8,0,2,1,3,3,2,1,1,1,0,2,1,3,2,1,0,5,4,28,6,11,0,0,0,181,4,4,4,3,3,12,0,0,16,9,5,5,0,4,2,146,9,2,6,69,0,0,20,4,2,0,0,33,50,2,0,3,1,0,0,0,0
CM_Punto Angelines,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM_Pepita,Redondo,2,0,7,4,12,4,0,12,41,4,7,2,4,4,5,0,28,6,4,1,1,1,0,2,0,0,2,5,0,0,29,0,3,2,7,4,3,13,2,0,0,0,0,6,5,2,18,5,85,2,5,39,2,2,2,0,0,0,3,3,2,2,3,7,0,5,12,0,2,2,5,46,1,7,4,8,0,30,23,5,6,2,12,8,1,1,6,4,1,1,29,0,17,2,0,0,108,4,3,2,2,0,4,3,5,4,4,43,13,3,2,1,61,1,0,0,30,2,0,12,5,0,5,1,18,21,5,0,0,1,0,0,0,0
CM_Copas de champán,Cuadrado/Redondo,0,0,12,12,12,6,0,8,62,6,15,4,3,2,7,1,9,15,37,1,7,2,2,1,0,5,0,7,0,0,39,2,3,3,13,2,1,3,1,1,0,0,0,7,6,1,0,0,120,1,6,41,7,6,4,0,0,4,6,6,5,2,8,4,1,9,12,0,6,6,2,66,4,6,5,28,0,10,2,6,38,19,10,5,7,7,2,2,4,2,35,5,14,2,2,0,130,2,1,5,1,0,4,4,3,7,6,37,25,2,7,1,94,2,3,2,27,0,5,14,7,0,2,2,12,27,7,0,2,2,0,1,0,0
CM_Hojas y cactus,Redondo,0,26,10,2,18,4,4,0,18,7,6,0,1,1,1,1,3,0,14,0,2,1,0,0,0,0,0,0,0,0,7,1,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,20,2,0,0,15,7,5,0,2,13,12,2,0,4,2,1,0,2,1,9,0,7,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,19,0,0,0,0,2,20,1,2,0,0,0,0,0,0
CM_Abouchete,Redondo/Ovalado,0,6,12,4,32,0,0,41,114,0,3,0,15,10,2,2,23,79,83,10,0,0,0,0,0,0,0,0,0,5,89,10,0,0,12,14,7,0,13,10,6,10,10,20,5,0,28,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,0,4,0,14,95,1,25,11,50,0,22,0,15,83,11,14,8,0,0,0,0,0,0,109,0,77,10,5,3,39,0,0,3,0,0,0,0,0,1,0,7,0,0,0,0,159,0,0,20,77,0,0,41,0,0,42,33,30,66,2,3,20,35,0,13,5,0
