teixit,forma,(,),-,0,1,2,3,4,5,6,7,8,9,<,>,D,I,M,Z,a,g,l,p,r,v,x,{,}
CM_Pasión,Redondo,213,213,68,4,24,43,95,20,23,19,16,7,15,0,0,0,2,2,2,108,108,326,49,0,67,41,0,0
CM_Angelines,Cuadrado,113,113,29,5,18,30,103,8,9,1,6,3,14,2,4,0,0,0,0,45,43,274,114,0,29,38,0,0
CM_Eterna,Redondo,30,30,10,0,3,7,16,8,3,4,0,0,0,0,0,1,1,1,0,11,11,61,10,0,9,5,0,0
CM_Pelargonia,Redondo,100,100,16,1,3,35,60,2,7,10,9,1,7,0,0,0,0,1,1,50,41,172,17,0,15,20,0,0
CM_Gardenia,Redondo,543,543,212,12,36,236,282,109,92,23,12,23,16,11,66,0,0,0,0,407,398,963,163,69,212,104,0,0
CM_Hojas de Roble,Redondo,291,291,94,8,44,126,104,46,18,13,20,8,10,4,3,0,1,1,1,234,224,551,132,0,94,1,0,0
CM_Punto Angelines,,260,260,23,4,16,159,22,56,0,7,0,0,0,0,0,0,0,0,0,48,72,120,0,111,23,0,0,0
CM_Pepita,Redondo,293,293,73,5,34,47,157,74,16,26,7,7,2,3,7,0,1,1,1,136,154,432,62,0,73,5,1,1
CM_Copas de champán,Cuadrado/Redondo,316,316,52,1,20,51,192,22,68,36,13,3,9,0,4,0,0,0,0,151,151,549,52,0,52,2,0,0
CM_Hojas y cactus,Redondo,133,133,2,1,1,68,45,14,16,2,4,1,2,0,0,0,0,4,4,31,24,114,30,0,0,0,0,0
CM_Abouchete,Redondo/Ovalado,539,539,66,2,23,63,327,33,185,22,20,5,15,0,2,0,10,10,9,191,192,785,121,0,64,63,0,0
