teixit,forma,(,),-,.,/,0,1,2,3,4,5,6,7,8,9,<,>,A,F,G,I,J,L,M,P,Q,R,S,T,V,X,Z,[,],a,g,l,p,v,·,А
ND_Isabelet,,432,430,0,239,191,6,30,255,170,50,55,21,32,24,20,0,0,228,0,232,4,0,725,4,197,0,0,0,0,191,28,4,0,0,0,0,0,0,0,0,0
ND_Rosario,Cuadrado,537,537,132,5,0,10,50,115,244,161,74,16,24,14,13,0,1,386,0,380,0,0,1118,0,582,0,129,0,0,0,35,0,84,84,0,0,0,0,0,0,0
ND_Demetri grande,,146,145,0,113,3,4,11,31,67,8,29,14,14,4,8,0,0,55,0,42,1,0,184,4,66,0,0,0,0,0,0,4,0,0,0,0,0,0,28,0,0
ND_Anelise,Redondo,302,302,0,202,100,4,30,75,146,69,15,24,7,6,2,3,7,119,0,133,0,0,381,0,60,0,0,0,0,100,5,0,0,0,0,0,0,0,0,0,0
ND_Aurea,Redondo,442,441,0,335,109,0,0,283,221,27,21,9,8,0,1,25,0,286,0,286,6,0,804,6,97,0,0,0,0,109,72,6,28,30,0,0,0,0,0,0,0
ND_Conchita Romero,,365,363,53,1,0,5,32,64,245,34,43,8,33,10,11,0,0,152,0,144,0,0,502,0,68,0,0,0,2,133,46,0,0,0,0,0,0,0,0,0,0
ND_Modelo Ros Mari,,178,186,0,0,0,1,17,11,169,3,37,7,26,4,7,0,17,98,0,110,0,0,362,0,182,0,0,0,0,60,13,0,0,0,0,0,0,0,0,0,0
ND_Demetri pequeño,,62,62,0,40,19,0,4,23,43,7,4,0,0,0,0,0,0,20,0,14,0,0,77,3,33,0,0,0,0,0,0,3,0,0,0,1,0,1,21,0,0
ND_Punto Angelines para blusa,,111,113,18,0,0,0,0,57,21,28,0,3,0,0,0,0,0,16,0,29,0,0,45,0,61,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND_Zapatitos de recién nacido,,14,14,0,0,0,2,6,6,1,2,1,2,1,2,1,0,0,0,0,0,0,0,30,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND_Coco liso,Cuadrado,433,430,0,354,75,0,2,89,302,43,40,2,16,0,3,1,0,176,0,177,0,0,566,1,69,0,0,0,0,1,109,0,0,0,0,0,0,0,75,0,0
ND_Ruth,,126,124,0,41,0,0,0,46,99,9,7,35,17,0,0,19,39,101,0,102,0,0,279,0,161,0,7,0,0,0,69,0,11,10,0,0,0,0,78,42,0
ND_Chistrofe Rosa de Navidad,,237,236,0,31,0,2,25,37,107,31,32,35,15,10,11,0,2,115,0,106,0,0,355,0,123,0,0,0,0,0,4,0,0,0,0,0,0,0,65,0,0
ND_Maria,,654,656,0,251,0,11,68,303,332,58,68,76,74,10,33,4,4,457,0,451,4,1,1311,6,359,1,0,1,0,4,76,6,0,0,0,0,0,0,215,96,0
ND_Sin nombre,,15,15,0,0,0,0,0,0,11,1,1,1,1,0,0,0,0,8,0,7,0,0,17,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
ND_Tara,,239,235,0,0,0,0,8,51,185,38,30,4,11,0,5,0,2,105,0,107,2,0,444,2,56,0,0,0,0,0,49,2,0,0,0,0,0,0,73,23,1
ND_Renacimiento,Cuadrado,85,85,0,30,0,0,6,12,46,14,14,10,7,8,5,0,0,56,0,55,0,0,235,0,42,0,0,0,0,0,35,0,0,0,0,0,0,0,16,0,0
ND_Campesina,,47,47,1,8,0,0,3,6,37,6,4,0,2,1,1,0,0,24,1,25,0,0,88,0,30,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0
ND_Merche,,197,196,36,0,0,0,4,64,93,66,19,4,5,4,1,0,0,64,1,64,1,0,272,1,49,0,1,0,0,0,36,1,0,0,0,0,0,0,36,0,0
ND_Dolores,,382,381,108,0,0,5,38,42,187,135,42,6,22,4,13,0,0,163,0,163,0,0,467,0,70,0,8,0,0,0,48,0,0,0,0,0,0,0,112,0,0
ND_Chechee,,200,200,62,0,0,0,26,32,119,20,32,42,12,3,10,0,12,67,0,66,0,0,319,0,68,0,0,0,0,0,13,0,0,0,0,0,0,0,62,0,0
ND_Vilno (Hijo),,341,341,0,214,124,2,27,91,162,37,25,34,28,33,12,12,34,212,0,216,2,0,597,2,106,0,0,0,0,46,45,2,0,0,2,0,3,2,78,0,0
