teixit,forma,(,),+,-,.,/,0,1,2,3,4,5,6,7,8,9,<,>,I,M,R,V,Z,[,],a,c,e,f,g,l,n,o,p,q,r,s,t,u,v,x,z,|
P_Jafisa - Grafico B,,159,159,0,70,0,0,0,18,41,75,12,18,16,22,0,6,0,0,0,0,0,0,0,0,0,92,0,0,0,91,200,0,0,145,0,0,1,0,0,70,37,2,0
P_Jafisa - Grafico C,,60,60,0,25,0,0,0,0,12,23,23,4,0,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,33,80,0,0,48,0,0,0,0,0,25,14,0,0
P_Conchita Romero,,362,362,0,136,0,0,5,31,66,243,42,44,8,25,8,9,0,0,0,0,0,0,0,0,0,150,0,0,0,141,499,0,0,284,0,0,2,0,0,135,50,0,0
P_Ruth,Ovalado,232,231,0,109,0,0,0,9,70,251,22,25,50,6,0,0,19,88,0,0,7,0,0,15,15,297,0,2,2,292,771,0,0,665,0,0,4,0,0,109,162,3,0
P_Primavera,,488,490,0,159,0,0,5,32,138,196,46,106,86,20,10,20,0,5,1,1,0,0,1,0,0,346,0,0,0,344,987,0,0,660,0,0,0,1,0,160,47,0,0
P_Pasión,,208,208,0,87,0,0,4,24,45,89,19,24,20,15,7,15,0,0,2,2,0,1,1,0,0,89,0,0,0,99,300,0,0,209,0,0,0,0,0,83,42,0,0
P_Celia,,148,147,0,70,2,0,0,7,61,85,26,26,9,24,6,5,0,0,7,7,0,7,0,0,0,70,0,0,0,59,206,1,1,155,0,0,1,1,1,65,49,0,0
P_Rosa de los Vientos,,169,169,0,31,0,0,0,9,7,158,22,16,2,9,0,13,0,4,1,1,0,0,1,0,0,62,0,0,0,56,272,0,0,218,0,0,0,0,0,30,17,0,0
P_Renacimiento,Cuadrado,78,78,0,15,0,0,0,6,5,46,14,14,10,7,8,5,0,0,0,0,0,0,0,0,0,57,0,0,0,55,234,0,0,118,0,0,0,0,0,15,34,0,0
P_Puntilla del Cacus,,35,35,0,2,0,0,0,0,1,26,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,84,0,0,49,0,0,0,0,0,2,18,0,8
P_Gentio,Redondo,418,418,20,81,2,0,6,41,74,229,46,63,12,44,3,20,0,3,0,0,0,1,0,0,0,201,0,0,0,213,630,0,0,453,4,0,2,19,0,81,9,1,0
P_Helga,,522,524,0,183,0,0,13,103,146,266,23,92,37,49,17,34,0,0,1,1,0,0,1,0,0,324,1,1,0,321,985,0,0,661,0,1,21,0,0,180,20,1,0
P_Cori,,41,41,0,2,0,0,0,0,3,46,1,4,0,7,0,5,0,1,0,0,0,0,0,0,0,12,0,0,0,12,110,0,0,88,0,0,3,0,0,2,22,0,0
P_Jafisa - Grafico A,Ovalado,87,86,0,34,0,1,0,0,29,40,9,8,4,6,0,2,0,1,0,0,0,0,0,0,0,38,0,0,0,38,125,0,0,73,0,0,0,0,0,34,20,0,0
